# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   75       2.721432198250e-10       5.562197582124e-14      -1.171982761066e-12       0.000000000000e+00       1.981223969151e-11       3.146004868034e-12      -9.175544420709e-15 
   76       2.756777999473e-10       5.759097425082e-14      -1.243258813152e-12       0.000000000000e+00       1.918732934044e-11       3.058082762634e-12      -9.056160185230e-15 
   77       2.792445160189e-10       5.958240257549e-14      -1.315949253542e-12       0.000000000000e+00       1.858613866197e-11       2.973395964608e-12      -8.950683499687e-15 
   78       2.828442684674e-10       6.159473257289e-14      -1.390015401872e-12       0.000000000000e+00       1.800867967257e-11       2.891946112616e-12      -8.856986281972e-15 
   79       2.864776468930e-10       6.362636397702e-14      -1.465417015086e-12       0.000000000000e+00       1.745462256951e-11       2.813686101916e-12      -8.772581552066e-15 
   80       2.901449118502e-10       6.567562363058e-14      -1.542112307753e-12       0.000000000000e+00       1.692328001579e-11       2.738517835329e-12      -8.694610187187e-15 
   81       2.938459766289e-10       6.774076463740e-14      -1.620057972369e-12       0.000000000000e+00       1.641359142523e-11       2.666289974190e-12      -8.619827676957e-15 
   82       2.975803890360e-10       6.981996551478e-14      -1.699209199671e-12       0.000000000000e+00       1.592410724741e-11       2.596795689304e-12      -8.544590878546e-15 
   83       3.013473131769e-10       7.191132934592e-14      -1.779519698940e-12       0.000000000000e+00       1.545297325272e-11       2.529770411900e-12      -8.464844771839e-15 
   84       3.051459088709e-10       7.401293574673e-14      -1.860940971515e-12       0.000000000000e+00       1.499838194374e-11       2.464958234442e-12      -8.377175384100e-15 
