# Matter power spectrum P(k) at redshift z=0
# for k=1.05911e-05 to 1.12045 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.125369105243e-02       2.201164892125e+04 
       2.138547706998e-02       2.197090533795e+04 
       2.151734612865e-02       2.192937476757e+04 
       2.164929986703e-02       2.188704842488e+04 
       2.178133996348e-02       2.184398374547e+04 
       2.191346813706e-02       2.180009149560e+04 
       2.204568614843e-02       2.175550635280e+04 
       2.217799580082e-02       2.171014381285e+04 
       2.231039894106e-02       2.166409980007e+04 
       2.244289746054e-02       2.161734542239e+04 
       2.257549329630e-02       2.156986602357e+04 
       2.270818843215e-02       2.152174948262e+04 
       2.284098489972e-02       2.147294263431e+04 
       2.297388477966e-02       2.142351621785e+04 
       2.310689020286e-02       2.137342749034e+04 
       2.324000335162e-02       2.132276679158e+04 
       2.337322646097e-02       2.127132878068e+04 
       2.350656181994e-02       2.121953112568e+04 
       2.364001177295e-02       2.116699652641e+04 
       2.377357872119e-02       2.111393029226e+04 
       2.390726512404e-02       2.106031722472e+04 
       2.404107350060e-02       2.100615954783e+04 
       2.417500643115e-02       2.095143535332e+04 
       2.430906655883e-02       2.089640701000e+04 
       2.444325659117e-02       2.084065875871e+04 
       2.457757930187e-02       2.078452722059e+04 
       2.471203753245e-02       2.072767489514e+04 
       2.484663419414e-02       2.067051015222e+04 
       2.498137226966e-02       2.061289588970e+04 
       2.511625481520e-02       2.055466805459e+04 
       2.525128496234e-02       2.049619325073e+04 
       2.538646592015e-02       2.043720997170e+04 
       2.552180097731e-02       2.037782668514e+04 
       2.565729350424e-02       2.031807794945e+04 
       2.579294695543e-02       2.025790431267e+04 
       2.592876487175e-02       2.019733584421e+04 
       2.606475088287e-02       2.013641171086e+04 
       2.620090870976e-02       2.007507340037e+04 
       2.633724216732e-02       2.001351453418e+04 
       2.647375516700e-02       1.995166404390e+04 
       2.661045171964e-02       1.988935749952e+04 
       2.674733593831e-02       1.982678914995e+04 
       2.688441204128e-02       1.976379219828e+04 
       2.702168435515e-02       1.970047007862e+04 
       2.715915731800e-02       1.963737609843e+04 
       2.729683548271e-02       1.957316366258e+04 
       2.743472352044e-02       1.950929062527e+04 
       2.757282622413e-02       1.944467741594e+04 
       2.771114851222e-02       1.938088762253e+04 
       2.784969543250e-02       1.931543235822e+04 
       2.798847216605e-02       1.925010871987e+04 
       2.812748403141e-02       1.918591720277e+04 
       2.826673648883e-02       1.912028795335e+04 
       2.840623514473e-02       1.905480658120e+04 
       2.854598575633e-02       1.898869493667e+04 
       2.868599423645e-02       1.892268026815e+04 
       2.882626665852e-02       1.885611864691e+04 
       2.896680926175e-02       1.879008489466e+04 
       2.910762845652e-02       1.872322680383e+04 
       2.924873083006e-02       1.865657034131e+04 
       2.939012315223e-02       1.858964946316e+04 
       2.953181238165e-02       1.852240664701e+04 
       2.967380567200e-02       1.845301812015e+04 
       2.981611037868e-02       1.838692536098e+04 
       2.995873406565e-02       1.832028768008e+04 
       3.010168451263e-02       1.825240734567e+04 
       3.024496972255e-02       1.818483369618e+04 
       3.038859792941e-02       1.811638076991e+04 
       3.053257760634e-02       1.804904710655e+04 
       3.067691747421e-02       1.798098322865e+04 
       3.082162651041e-02       1.791273805398e+04 
       3.096671395820e-02       1.784400331169e+04 
       3.111218933636e-02       1.777560051409e+04 
       3.125806244935e-02       1.770722105770e+04 
       3.140434339791e-02       1.763878130069e+04 
       3.155104259013e-02       1.757010832106e+04 
       3.169817075312e-02       1.750132705334e+04 
       3.184573894510e-02       1.743364413856e+04 
       3.199375856820e-02       1.736495211113e+04 
       3.214224138181e-02       1.729620566214e+04 
       3.229119951654e-02       1.722752891892e+04 
       3.244064548896e-02       1.715877028523e+04 
       3.259059221702e-02       1.709005632769e+04 
       3.274105303621e-02       1.702119153490e+04 
       3.289204171661e-02       1.695235348406e+04 
       3.304357248074e-02       1.688349735078e+04 
       3.319566002242e-02       1.681463990196e+04 
       3.334831952647e-02       1.674582870902e+04 
       3.350156668962e-02       1.667686729930e+04 
       3.365541774241e-02       1.660808490587e+04 
       3.380988947230e-02       1.653917999304e+04 
