# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  132       5.180660857856e-10       1.500486693058e-13      -5.741197715007e-12       7.001189166258e-16       4.530534317479e-12       9.115326004558e-13      -5.032680389869e-15 
  133       5.227977941235e-10       1.504095710913e-13      -5.791122876951e-12       7.114090909347e-16       4.435351130840e-12       8.964410406848e-13      -4.978320585311e-15 
  134       5.275239828979e-10       1.507023289241e-13      -5.838557516237e-12       7.228139465577e-16       4.342761145013e-12       8.817067592915e-13      -4.923258152984e-15 
  135       5.322434725575e-10       1.509267845324e-13      -5.883436560931e-12       7.343342502538e-16       4.252725849191e-12       8.673225108060e-13      -4.867439433689e-15 
  136       5.369550176844e-10       1.510828635800e-13      -5.925695862002e-12       7.459707719460e-16       4.165193780112e-12       8.532789628105e-13      -4.810804916102e-15 
  137       5.416573054266e-10       1.511705775470e-13      -5.965272235038e-12       7.577242846038e-16       4.080100198554e-12       8.395646438857e-13      -4.753289096860e-15 
  138       5.463489539314e-10       1.511900256107e-13      -6.002103501960e-12       7.695955641258e-16       3.997366765831e-12       8.261658915584e-13      -4.694820340638e-15 
  139       5.510285107774e-10       1.511413965267e-13      -6.036128532744e-12       7.815853892219e-16       3.916901220285e-12       8.130668002478e-13      -4.635320740234e-15 
  140       5.556944514082e-10       1.510249705096e-13      -6.067287287138e-12       7.936945412962e-16       3.838597053782e-12       8.002491692134e-13      -4.574705976656e-15 
  141       5.603451775642e-10       1.508411211141e-13      -6.095520856376e-12       8.059238043296e-16       3.762333188207e-12       7.876924505011e-13      -4.512885179199e-15 
  142       5.649790157164e-10       1.505903171156e-13      -6.120771504900e-12       8.182739647618e-16       3.687973651954e-12       7.753736968908e-13      -4.449760785531e-15 
  143       5.695942154983e-10       1.502731243917e-13      -6.142982712076e-12       8.307458113744e-16       3.615367256427e-12       7.632675098430e-13      -4.385228401776e-15 
  144       5.741890858943e-10       1.498902128675e-13      -6.162099662327e-12       8.433400850553e-16       3.544379291924e-12       7.513518871057e-13      -4.319217093716e-15 
  145       5.787624222441e-10       1.494423741549e-13      -6.178070681943e-12       8.560573227574e-16       3.474990820032e-12       7.396265251566e-13      -4.251815032569e-15 
  146       5.833131185519e-10       1.489305092363e-13      -6.190846023881e-12       8.688979978617e-16       3.407208600733e-12       7.280962305861e-13      -4.183156027893e-15 
  147       5.878400327425e-10       1.483556254484e-13      -6.200377475976e-12       8.818625685115e-16       3.341033813757e-12       7.167651644751e-13      -4.113380300383e-15 
  148       5.923419858862e-10       1.477188383928e-13      -6.206618405232e-12       8.949514772073e-16       3.276461919086e-12       7.056368242480e-13      -4.042634574310e-15 
  149       5.968177614231e-10       1.470213738457e-13      -6.209523802117e-12       9.081651504011e-16       3.213482517476e-12       6.947140255257e-13      -3.971072169974e-15 
  150       6.012661043874e-10       1.462645696676e-13      -6.209050324858e-12       9.215039980909e-16       3.152079210968e-12       6.839988839787e-13      -3.898853096143e-15 
  151       6.056857206323e-10       1.454498777141e-13      -6.205156343735e-12       9.349684134156e-16       3.092229463399e-12       6.734927971806e-13      -3.826144142506e-15 
  152       6.100752760543e-10       1.445788657452e-13      -6.197801985377e-12       9.485587722487e-16       3.033904460923e-12       6.631964264603e-13      -3.753118972113e-15 
  153       6.144333958173e-10       1.436532193357e-13      -6.186949177057e-12       9.622754327937e-16       2.977068972517e-12       6.531096787562e-13      -3.679958213822e-15 
  154       6.187586635779e-10       1.426747437849e-13      -6.172561690983e-12       9.761187351780e-16       2.921681210501e-12       6.432316884682e-13      -3.606849554747e-15 
  155       6.230496207091e-10       1.416453660273e-13      -6.154605188596e-12       9.900890010475e-16       2.867692691046e-12       6.335607993117e-13      -3.533987832699e-15 
  156       6.273047655253e-10       1.405671365416e-13      -6.133047264866e-12       1.004186533161e-15       2.815048094695e-12       6.240945461699e-13      -3.461575128638e-15 
  157       6.315225525065e-10       1.394422312617e-13      -6.107857492582e-12       1.018411614987e-15       2.763685126871e-12       6.148296369475e-13      -3.389820859113e-15 
  158       6.357013915230e-10       1.382729534862e-13      -6.079007466651e-12       1.032764510292e-15       2.713534378394e-12       6.057619344236e-13      -3.318941868710e-15 
  159       6.398396470599e-10       1.370617357883e-13      -6.046470848389e-12       1.047245462742e-15       2.664519185994e-12       5.968864381044e-13      -3.249162522500e-15 
  160       6.439356374411e-10       1.358111419262e-13      -6.010223409820e-12       1.061854695495e-15       2.616555492823e-12       5.881972660769e-13      -3.180714798478e-15 
  161       6.479877491244e-10       1.345238037370e-13      -5.970242774882e-12       1.076592377508e-15       2.569569066797e-12       5.796887836074e-13      -3.113789949226e-15 
  162       6.519947925703e-10       1.332022215371e-13      -5.926507524349e-12       1.091458519975e-15       2.523549159578e-12       5.713591391949e-13      -3.048388488980e-15 
  163       6.559556765075e-10       1.318489496389e-13      -5.878998096040e-12       1.106453069917e-15       2.478499348308e-12       5.632070079946e-13      -2.984457055433e-15 
  164       6.598692954496e-10       1.304666613771e-13      -5.827697123348e-12       1.121575942086e-15       2.434420545416e-12       5.552304604279e-13      -2.921935518045e-15 
  165       6.637345294493e-10       1.290581507198e-13      -5.772589478135e-12       1.136827018407e-15       2.391310938996e-12       5.474269493115e-13      -2.860756847659e-15 
  166       6.675502438515e-10       1.276263338796e-13      -5.713662313637e-12       1.152206147417e-15       2.349165933181e-12       5.397932969868e-13      -2.800846986126e-15 
  167       6.713152890480e-10       1.261742509238e-13      -5.650905107361e-12       1.167713143712e-15       2.307978088516e-12       5.323256824488e-13      -2.742124715927e-15 
  168       6.750285002310e-10       1.247050673860e-13      -5.584309703986e-12       1.183347787383e-15       2.267737062336e-12       5.250196284750e-13      -2.684501529791e-15 
  169       6.786886971471e-10       1.232220758768e-13      -5.513870358263e-12       1.199109823461e-15       2.228429549138e-12       5.178699887549e-13      -2.627881500322e-15 
  170       6.822946838512e-10       1.217286976943e-13      -5.439583777917e-12       1.214998961355e-15       2.190039220958e-12       5.108709350189e-13      -2.572161149616e-15 
  171       6.858452484606e-10       1.202284844354e-13      -5.361449166544e-12       1.231014874296e-15       2.152546667748e-12       5.040159441677e-13      -2.517229318886e-15 
  172       6.893391629085e-10       1.187251196067e-13      -5.279468266514e-12       1.247157198778e-15       2.115929337746e-12       4.972977854009e-13      -2.462967038081e-15 
  173       6.927751826983e-10       1.172224202352e-13      -5.193645401871e-12       1.263425533997e-15       2.080161477855e-12       4.907085073465e-13      -2.409247395511e-15 
